num_gpus,batch_size_per_gpu,global_batch_size,samples_per_sec,actual_speedup,ideal_speedup,parallel_eff_pct,wall_time_sec
1,16,16,8145.3000,1.0000,1.0000,100.0000,1.1790
2,16,32,12589.5100,1.5456,2.0000,77.2808,1.5250
4,16,64,23731.1000,2.9135,4.0000,72.8368,1.6180
1,32,32,10892.1800,1.0000,1.0000,100.0000,1.7630
2,32,64,18576.4000,1.7055,2.0000,85.2740,2.0670
4,32,128,35366.4500,3.2470,4.0000,81.1739,2.1720
1,64,64,10866.1500,1.0000,1.0000,100.0000,3.5340
2,64,128,19935.2700,1.8346,2.0000,91.7311,3.8520
4,64,256,39120.6500,3.6002,4.0000,90.0058,3.9260
1,128,128,10549.5700,1.0000,1.0000,100.0000,7.2800
2,128,256,20354.9800,1.9295,2.0000,96.4730,7.5460
4,128,512,39944.8300,3.7864,4.0000,94.6599,7.6910
